year,price,transmission,mileage,fuel_type,engine_size,Automatic,Manual,OtherTransmission,Semi-Auto,Diesel,Hybrid,OtherFuel,Petrol
2020,30495,Automatic,1200.0,Diesel,2.0,1,0,0,0,1,0,0,0
2020,29989,Automatic,1000.0,Petrol,1.5,1,0,0,0,0,0,0,1
2020,37899,Automatic,500.0,Diesel,2.0,1,0,0,0,1,0,0,0
2019,30399,Automatic,5000.0,Diesel,2.0,1,0,0,0,1,0,0,0
2019,29899,Automatic,4500.0,Diesel,2.0,1,0,0,0,1,0,0,0
2020,30999,Automatic,1000.0,Diesel,2.0,1,0,0,0,1,0,0,0
2020,35999,Automatic,500.0,Diesel,2.0,1,0,0,0,1,0,0,0
2019,37990,Automatic,1412.0,Petrol,3.0,1,0,0,0,0,0,0,1
2019,28990,Automatic,3569.0,Diesel,2.0,1,0,0,0,1,0,0,0
2019,28990,Automatic,3635.0,Diesel,2.0,1,0,0,0,1,0,0,0
2013,9995,Automatic,44900.0,Petrol,1.6,1,0,0,0,0,0,0,1
2012,6995,Automatic,88200.0,Diesel,2.1,1,0,0,0,1,0,0,0
2012,7495,Automatic,115000.0,Diesel,2.1,1,0,0,0,1,0,0,0
2011,8995,Automatic,69250.0,Diesel,2.1,1,0,0,0,1,0,0,0
2015,14995,Automatic,49850.0,Diesel,2.1,1,0,0,0,1,0,0,0
2013,8595,Automatic,82685.0,Diesel,2.1,1,0,0,0,1,0,0,0
2016,19250,Semi-Auto,32506.0,Diesel,2.1,0,0,0,1,1,0,0,0
2017,23500,Semi-Auto,17000.0,Diesel,2.1,0,0,0,1,1,0,0,0
2018,24995,Semi-Auto,17744.0,Diesel,2.0,0,0,0,1,1,0,0,0
2016,29995,Semi-Auto,64291.0,Petrol,4.0,0,0,0,1,0,0,0,1
2014,17990,Automatic,41011.0,Petrol,2.0,1,0,0,0,0,0,0,1
2016,14477,Automatic,72000.0,Diesel,1.6,1,0,0,0,1,0,0,0
2013,10977,Automatic,72000.0,Diesel,2.1,1,0,0,0,1,0,0,0
2016,17977,Automatic,40000.0,Diesel,1.6,1,0,0,0,1,0,0,0
2015,12790,Automatic,52000.0,Diesel,2.1,1,0,0,0,1,0,0,0
2017,14488,Automatic,66472.0,Diesel,2.1,1,0,0,0,1,0,0,0
2011,7500,Manual,91000.0,Diesel,2.1,0,1,0,0,1,0,0,0
2013,9750,Automatic,69700.0,Diesel,2.1,1,0,0,0,1,0,0,0
2015,15995,Automatic,39000.0,Diesel,1.6,1,0,0,0,1,0,0,0
2016,15675,Manual,39287.0,Diesel,2.1,0,1,0,0,1,0,0,0
2016,16475,Manual,40569.0,Diesel,2.1,0,1,0,0,1,0,0,0
2016,15975,Manual,37419.0,Petrol,2.0,0,1,0,0,0,0,0,1
2016,16475,Automatic,34452.0,Diesel,2.1,1,0,0,0,1,0,0,0
2015,15975,Automatic,41567.0,Hybrid,2.1,1,0,0,0,0,1,0,0
2015,16495,Automatic,41130.0,Hybrid,2.0,1,0,0,0,0,1,0,0
2017,17795,Automatic,37778.0,Diesel,2.1,1,0,0,0,1,0,0,0
2017,17875,Automatic,44325.0,Diesel,2.1,1,0,0,0,1,0,0,0
2016,14000,Automatic,45000.0,Diesel,2.1,1,0,0,0,1,0,0,0
2017,16500,Automatic,75000.0,Diesel,1.6,1,0,0,0,1,0,0,0
2016,21000,Automatic,36000.0,Diesel,2.1,1,0,0,0,1,0,0,0
2015,15500,Automatic,64000.0,Diesel,2.1,1,0,0,0,1,0,0,0
2013,7250,Manual,106000.0,Diesel,2.1,0,1,0,0,1,0,0,0
2015,13000,Automatic,67150.0,Diesel,2.1,1,0,0,0,1,0,0,0
2012,11000,Automatic,43426.0,Petrol,1.6,1,0,0,0,0,0,0,1
2016,13300,Manual,42622.0,Diesel,2.1,0,1,0,0,1,0,0,0
2016,16000,Manual,34903.0,Diesel,2.1,0,1,0,0,1,0,0,0
2014,12500,Automatic,35345.0,Diesel,2.1,1,0,0,0,1,0,0,0
2015,14495,Manual,23146.0,Petrol,2.0,0,1,0,0,0,0,0,1
2017,24500,Automatic,16000.0,Diesel,2.1,1,0,0,0,1,0,0,0
2013,23990,Automatic,44000.0,Petrol,6.2,1,0,0,0,0,0,0,1
2015,17250,Automatic,30000.0,Diesel,2.1,1,0,0,0,1,0,0,0
2015,14200,Automatic,22000.0,Petrol,1.6,1,0,0,0,0,0,0,1
2017,22950,Automatic,19000.0,Petrol,2.0,1,0,0,0,0,0,0,1
2013,10500,Automatic,90000.0,Diesel,2.1,1,0,0,0,1,0,0,0
2014,15650,Automatic,32000.0,Diesel,2.1,1,0,0,0,1,0,0,0
2015,14850,Automatic,90000.0,Diesel,2.1,1,0,0,0,1,0,0,0
2017,22400,Automatic,37000.0,Diesel,2.1,1,0,0,0,1,0,0,0
2017,19950,Automatic,23000.0,Diesel,2.1,1,0,0,0,1,0,0,0
2014,9990,Automatic,78000.0,Diesel,2.1,1,0,0,0,1,0,0,0
2015,11990,Automatic,47000.0,Diesel,2.1,1,0,0,0,1,0,0,0
2017,20990,Automatic,18000.0,Diesel,2.1,1,0,0,0,1,0,0,0
2015,14490,Automatic,64000.0,Diesel,2.1,1,0,0,0,1,0,0,0
