job_blue_collar,job_retired,marital_married,housing_yes,loan_yes,contact_unknown,poutcome_success,poutcome_unknown
1,0,1,1,0,1,0,1
0,0,0,0,0,1,0,1
0,0,0,1,0,0,0,1
0,0,1,0,0,0,0,0
0,0,1,0,1,0,0,1
1,0,1,0,0,0,0,1
0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,1
0,0,0,0,1,1,0,1
1,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0
1,0,0,0,0,1,0,1
0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0
1,0,1,1,1,0,0,0
0,0,0,1,0,0,0,1
1,0,1,1,0,1,0,1
0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,1
0,0,1,1,0,0,0,1
1,0,1,1,1,0,0,0
1,0,0,1,0,1,0,1
0,0,0,0,0,0,0,1
0,0,1,1,0,1,0,1
0,0,0,0,0,0,0,1
1,0,1,0,0,0,0,1
0,0,1,0,0,1,0,1
1,0,1,1,0,1,0,1
0,1,1,0,0,0,0,0
0,0,1,1,1,0,0,1
0,0,1,0,0,0,0,1
0,0,1,0,0,0,0,1
0,0,1,1,0,0,1,0
0,0,1,1,0,0,0,1
1,0,1,1,1,1,0,1
0,0,0,0,1,0,0,1
0,0,1,1,0,1,0,1
1,0,1,1,1,0,0,1
1,0,1,1,0,0,0,1
0,0,0,0,1,0,0,1
0,0,1,0,0,0,0,1
0,0,1,1,0,0,0,1
1,0,1,1,0,0,0,0
0,0,0,1,1,1,0,1
0,0,0,0,0,1,0,1
0,0,0,1,0,1,0,1
0,1,1,0,0,0,1,0
0,0,1,1,0,1,0,1
0,0,0,1,0,0,0,0
0,0,1,1,0,0,0,1
1,0,1,1,0,0,0,1
0,0,1,0,0,0,0,1
1,0,1,1,0,1,0,1
0,0,0,1,0,0,0,1
0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,1
0,0,1,0,0,0,0,1
0,0,1,0,0,1,0,1
0,0,0,0,0,0,0,1
1,0,0,0,0,1,0,1
0,0,0,1,0,0,0,1
1,0,0,1,0,1,0,1
0,0,1,0,0,1,0,1
1,0,1,1,0,0,0,1
0,0,0,1,0,1,0,1
0,0,1,1,0,0,0,1
0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,1
0,0,1,1,1,1,0,1
0,0,0,1,0,0,0,1
0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,1
0,0,1,1,0,0,0,1
0,0,1,0,0,1,0,1
0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,1
0,0,1,1,0,0,0,1
0,0,0,0,0,1,0,1
0,0,1,1,1,1,0,1
0,0,1,0,1,1,0,1
0,0,1,0,0,0,0,1
0,0,1,0,0,0,0,1
0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,1
0,0,1,1,1,1,0,1
0,0,1,1,0,1,0,1
0,0,1,1,0,0,0,0
0,1,1,0,0,0,0,1
0,0,1,0,0,0,0,1
0,0,0,1,0,1,0,1
0,0,1,1,0,0,0,0
0,0,1,0,0,0,0,1
0,0,1,1,0,1,0,1
1,0,0,1,0,0,0,0
0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,1
0,0,1,1,0,0,0,1
0,0,0,1,0,1,0,1
0,1,0,1,0,1,0,1
1,0,1,0,1,0,0,1
1,0,1,0,0,1,0,1
1,0,1,0,0,1,0,1
1,0,0,1,0,0,0,1
0,0,1,0,0,0,0,1
0,0,1,1,0,1,0,1
0,0,1,0,1,0,0,1
0,0,0,1,0,0,0,1
