age,balance,campaign,pdays,last_contact,poutcome_success
40,580,1,-1,186,0
47,3644,2,-1,162,0
25,538,1,-1,212,0
42,1773,1,336,223,0
56,217,2,-1,120,0
28,1134,3,-1,282,0
24,1085,6,-1,195,0
37,127,4,-1,240,0
30,3,1,-1,116,0
38,258,2,-1,151,0
33,498,1,-1,202,0
48,65,1,370,188,0
30,18,1,-1,193,0
31,883,2,106,258,0
30,640,4,213,285,0
30,536,1,105,34,1
35,247,1,352,189,0
31,518,1,-1,184,0
46,0,3,-1,179,0
33,5437,1,91,198,0
49,-478,1,-1,-2,0
35,991,3,-1,196,0
43,-755,1,337,197,0
44,-239,3,-1,175,0
33,3017,3,-1,-3,0
33,184,4,-1,189,0
23,431,2,-1,97,0
47,699,1,-1,105,0
60,914,1,-1,106,0
51,7816,2,-1,190,0
56,728,2,110,0,0
59,3428,1,-1,-1,0
49,223,22,-1,82,0
49,2254,1,-1,105,0
56,589,1,26,0,1
38,79,2,-1,90,0
46,78,1,-1,195,0
58,409,2,-1,127,0
36,352,2,-1,181,0
29,-312,2,-1,188,0
39,1044,1,-1,289,0
36,227,4,-1,103,0
37,1967,1,-1,22,0
44,650,2,-1,196,0
34,1309,2,364,190,0
51,115,1,-1,194,0
27,337,1,-1,132,0
49,874,2,-1,186,0
65,679,2,178,189,1
36,8114,1,-1,165,0
32,453,1,269,289,0
56,0,2,-1,197,0
28,258,1,-1,117,0
59,2540,5,-1,125,0
28,196,7,-1,145,0
33,14889,3,-1,288,0
44,0,2,-1,133,0
39,1340,2,-1,153,0
33,1323,1,-1,170,0
60,4722,3,-1,151,0
34,267,2,-1,133,0
33,60,1,-1,193,0
39,355,5,-1,85,0
31,-452,5,-1,176,0
38,93,2,-1,138,0
32,10142,1,-1,-2,0
24,82,2,-1,197,0
40,1270,2,-1,194,0
47,80,5,-1,125,0
37,-17,2,340,191,0
57,113,2,-1,288,0
44,447,5,-1,188,0
31,-348,1,-1,184,0
29,238,1,-1,265,0
60,7601,1,-1,194,0
55,-14,4,-1,190,0
50,210,2,-1,155,0
26,1163,4,-1,113,0
28,492,1,-1,139,0
41,2661,1,-1,117,0
33,1,1,-1,197,0
37,123,2,-1,196,0
53,104,1,-1,166,0
45,-312,4,-1,0,0
61,2282,1,-1,-7,0
48,375,3,-1,294,0
29,1165,1,-1,169,0
34,91,4,-1,81,0
35,188,2,-1,166,0
43,861,1,-1,162,0
30,249,1,275,215,0
58,413,5,-1,83,0
54,204,5,-1,83,0
27,1492,13,-1,179,0
45,3857,2,190,99,0
50,329,4,-1,91,0
49,326,2,-1,195,0
28,1984,2,14,198,0
34,256,2,267,98,0
33,193,2,-1,197,0
36,-129,3,-1,112,0
27,691,2,-1,168,0
40,1734,4,-1,168,0
34,563,2,-1,288,0
47,303,1,-1,160,0
40,1313,1,-1,188,0
56,6483,2,-1,216,0
60,73,2,-1,102,0
47,0,1,-1,195,0
54,4816,1,-1,132,0
31,117,1,-1,123,0
52,37,1,-1,134,0
24,431,11,185,91,1
30,5,5,-1,131,0
46,-339,2,-1,191,0
45,171,1,-1,190,0
40,595,2,-1,168,0
32,684,3,-1,188,0
26,4,2,-1,113,0
35,0,3,363,206,0
53,230,2,250,287,0
49,108,6,-1,84,0
52,0,4,-1,99,0
41,15302,4,-1,91,0
57,4168,1,-1,186,0
51,48,1,-1,154,0
31,166,1,-1,191,0
36,11675,1,-1,-2,0
35,329,3,-1,133,0
49,154,15,-1,92,0
35,7962,2,140,223,0
31,466,1,-1,188,0
37,969,2,-1,188,0
32,2976,1,175,286,0
41,4320,2,-1,166,0
30,880,6,-1,183,0
36,1245,7,248,282,1
33,315,3,-1,287,0
51,1153,5,-1,212,0
32,0,2,-1,81,0
